Removed Pin From Net: NetName=NetC9_1 Pin=C24-1
Removed Member From Class: ClassName=Power Member=C24
Change component parameters: Designator = "C23" ("C23"); Footprint = "CAP TH ALUM ELEC D10.00mm S5.00mm H13.50mm"; UniqueID = "\MMMFSZZH" ("\MMMFSZZH")
Change component parameters (AddParameter): Name = "Value"; Value = "220µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Rated"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=C?(CAP TH ALUM ELEC D8.00mm S3.50mm H12.50mm)
Add component (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "22µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://nichicon-us.com/english/products/pdfs/e-ukl.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/nichicon/UKL1J220KPD/493-15394-ND/2598504"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Package"; Value = "Radial, Can"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.492" (12.50mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "9/7/2020 5:24:52 AM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Spacing"; Value = "0.138" (3.50mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifetime @ Temp."; Value = "2000 Hrs @ 85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Nichicon"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-40°C ~ 85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "Radial, Can"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "UKL1J220KPD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "7201"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Polarization"; Value = "Polar"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.55"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ripple Current @ High Frequency"; Value = "230mA @ 10kHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ripple Current @ Low Frequency"; Value = "115mA @ 120Hz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "UKL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.315" Dia (8.00mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "493-15394-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "22µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "63V"; VariantName = "[No Variations]"
Added Pin To Net: NetName=NetC9_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=R23-2
Added Net: Name=NetC?_2
Added Member To Class: ClassName=Power Member=Component C? 22µF
