Removed Pin From Net: NetName=VCC Pin=IC3-5
Removed Pin From Net: NetName=VCC Pin=IC3-6
Removed Pin From Net: NetName=VCC Pin=IC3-7
Removed Pin From Net: NetName=VCC Pin=IC3-8
Removed Pin From Net: NetName=GND Pin=IC4-4
Removed Pin From Net: NetName=NetIC3_4 Pin=IC4-7
Removed Pin From Net: NetName=VCC Pin=IC5-1
Removed Pin From Net: NetName=GND Pin=IC5-4
Removed Pin From Net: NetName=NetIC2_4 Pin=IC5-7
Removed Pin From Net: NetName=NetIC3_1 Pin=IC7-5
Removed Pin From Net: NetName=NetIC3_1 Pin=IC7-6
Removed Pin From Net: NetName=NetIC3_1 Pin=IC7-7
Removed Pin From Net: NetName=NetIC3_1 Pin=IC7-8
Removed Pin From Net: NetName=GND Pin=IC?-2
Removed Pin From Net: NetName=+3.3 Pin=IC?-5
Removed Member From Class: ClassName=Motor_Control Member=IC6
Removed Member From Class: ClassName=Motor_Control Member=IC7
Removed Member From Class: ClassName=Motor_Control Member=IC?
Removed Member From Class: ClassName=Motor_Control Member=R?
Change Component Footprint: Designator=IC4 Old Footprint=INFINEON PG-DSO-8 New Footprint=INFINEON PG-TDSON-8 6.15X5.32MM
Change Component Footprint: Designator=IC5 Old Footprint=INFINEON PG-DSO-8 New Footprint=INFINEON PG-TDSON-8 6.15X5.32MM
Change Component Comment : Designator=IC4 Old Comment=2EDL05N06PFXUMA1 New Comment=BSC027N04LSGATMA1
Change Component Comment : Designator=IC5 Old Comment=2EDL05N06PFXUMA1 New Comment=BSC027N04LSGATMA1
Change Component Comment : Designator=R13 Old Comment=10 mOhms New Comment=50 mOhms
Change component parameters: Designator = "R13" ("R13"); Footprint = "RES 0603_1608"; UniqueID = "\CJGNOTVT" ("\CJGNOTVT")
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "PG-TDSON-8-1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "BSC027N04LSGATMA1CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "MOSFET (Metal Oxide)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vgs (Max)"; Value = "±20V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vgs(th) (Max) @ Id"; Value = "2V @ 49µA"; VariantName = "[No Variations]"
Added Component: Designator=P4(BARR_0.5IN_2x1_0)
Add component (AddParameter): Name = "Cost"; Value = "1.68"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current"; Value = "50"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Levels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Molex"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer PN"; Value = "389690002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "CONN-00001"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Positions per level"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Barrier Block"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "7.5"; VariantName = "[No Variations]"
Added Component: Designator=P5(BARR_0.5IN_2x1_0)
Add component (AddParameter): Name = "Cost"; Value = "1.68"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current"; Value = "50"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Levels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Molex"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer PN"; Value = "389690002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "CONN-00001"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Positions per level"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Barrier Block"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "7.5"; VariantName = "[No Variations]"
Added Component: Designator=U4(VQFN-24-EP)
Add component (AddParameter): Name = "Cost"; Value = "2.37"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "TI"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer PN"; Value = "DRV8701PRGET"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "PWREG-00045"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reg Type"; Value = "Bridge Driver"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Range In"; Value = "5.9 - 45V"; VariantName = "[No Variations]"
Added Pin To Net: NetName=VCC Pin=IC4-2
Added Pin To Net: NetName=VCC Pin=IC4-3
Added Pin To Net: NetName=NetIC3_1 Pin=IC5-5
Added Pin To Net: NetName=NetIC3_1 Pin=IC5-6
Added Pin To Net: NetName=NetIC3_1 Pin=IC5-7
Added Pin To Net: NetName=NetIC3_1 Pin=IC5-8
Added Pin To Net: NetName=VCC Pin=P5-1
Added Pin To Net: NetName=GND Pin=P5-2
Added Pin To Net: NetName=NetIC3_1 Pin=R13-2
Added Pin To Net: NetName=GND Pin=U4-5
Added Pin To Net: NetName=GND Pin=U4-16
Added Pin To Net: NetName=NetIC2_4 Pin=U4-17
Added Pin To Net: NetName=NetIC3_4 Pin=U4-19
Added Pin To Net: NetName=GND Pin=U4-20
Added Pin To Net: NetName=NetIC3_1 Pin=U4-21
Added Pin To Net: NetName=GND Pin=U4-25
Added Pin To Net: NetName=MOTOR+ Pin=IC2-1
Added Pin To Net: NetName=MOTOR+ Pin=IC2-2
Added Pin To Net: NetName=MOTOR+ Pin=IC2-3
Added Pin To Net: NetName=MOTOR+ Pin=IC3-5
Added Pin To Net: NetName=MOTOR+ Pin=IC3-6
Added Pin To Net: NetName=MOTOR+ Pin=IC3-7
Added Pin To Net: NetName=MOTOR+ Pin=IC3-8
Added Pin To Net: NetName=MOTOR+ Pin=P4-1
Added Pin To Net: NetName=MOTOR+ Pin=U4-18
Added Net: Name=MOTOR+
Added Pin To Net: NetName=MOTOR- Pin=IC4-5
Added Pin To Net: NetName=MOTOR- Pin=IC4-6
Added Pin To Net: NetName=MOTOR- Pin=IC4-7
Added Pin To Net: NetName=MOTOR- Pin=IC4-8
Added Pin To Net: NetName=MOTOR- Pin=IC5-1
Added Pin To Net: NetName=MOTOR- Pin=IC5-2
Added Pin To Net: NetName=MOTOR- Pin=IC5-3
Added Pin To Net: NetName=MOTOR- Pin=P4-2
Added Pin To Net: NetName=MOTOR- Pin=U4-23
Added Net: Name=MOTOR-
Added Pin To Net: NetName=NetIC4_4 Pin=IC4-4
Added Pin To Net: NetName=NetIC4_4 Pin=U4-24
Added Net: Name=NetIC4_4
Added Pin To Net: NetName=NetIC5_4 Pin=IC5-4
Added Pin To Net: NetName=NetIC5_4 Pin=U4-22
Added Net: Name=NetIC5_4
Added Pin To Net: NetName=NetU1_13 Pin=U1-13
Added Net: Name=NetU1_13
Added Pin To Net: NetName=NetU1_18 Pin=U1-18
Added Net: Name=NetU1_18
Added Pin To Net: NetName=NetU1_19 Pin=U1-19
Added Net: Name=NetU1_19
Added Pin To Net: NetName=NetU1_30 Pin=U1-30
Added Net: Name=NetU1_30
Added Pin To Net: NetName=NetU1_31 Pin=U1-31
Added Net: Name=NetU1_31
Added Pin To Net: NetName=NetU4_14 Pin=U4-14
Added Net: Name=NetU4_14
Added Pin To Net: NetName=NetU4_15 Pin=U4-15
Added Net: Name=NetU4_15
Added Member To Class: ClassName=Motor_Control Member=Component P4 conn-2x1_0
Added Member To Class: ClassName=Power Member=Component P5 conn-2x1_0
Added Member To Class: ClassName=Motor_Control Member=Component U4 DRV8701PRGET
